Gene stable ID	Gene name	Gene description
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]
ENSG00000184216	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]
ENSG00000156711	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]
ENSG00000105851	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]
ENSG00000185386	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]
ENSG00000115415	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]
ENSG00000112062	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]
ENSG00000154589	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]
ENSG00000127666	TICAM1	toll like receptor adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]
ENSG00000109320	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]
ENSG00000125538	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]
ENSG00000198001	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]
ENSG00000114013	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]
ENSG00000188379	IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]
ENSG00000186803	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]
ENSG00000228083	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]
ENSG00000101916	TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]
ENSG00000185507	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]
ENSG00000275824	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]
ENSG00000142166	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]
ENSG00000105647	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]
ENSG00000121879	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]
ENSG00000120235	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]
ENSG00000118785	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]
ENSG00000269335	IKBKG	inhibitor of nuclear factor kappa B kinase subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]
ENSG00000120242	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]
ENSG00000234829	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]
ENSG00000171855	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]
ENSG00000076984	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]
ENSG00000137462	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]
ENSG00000196664	TLR7	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]
ENSG00000275199	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSG00000188130	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]
ENSG00000159110	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]
ENSG00000136238	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]
ENSG00000274221	CCL3	C-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:10627]
ENSG00000183735	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]
ENSG00000129988	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]
ENSG00000197919	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]
ENSG00000236637	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]
ENSG00000214042	IFNA7	interferon alpha 7 [Source:HGNC Symbol;Acc:HGNC:5428]
ENSG00000147873	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]
ENSG00000136244	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]
ENSG00000274233	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]
ENSG00000141506	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]
ENSG00000172936	MYD88	myeloid differentiation primary response 88 [Source:HGNC Symbol;Acc:HGNC:7562]
ENSG00000177606	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]
ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]
ENSG00000169248	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]
