Ensembl.Gene.ID	Requested ID	Matched ID(s)	Ensembl.Transcript.ID	Ensembl.Protein.ID	EntrezGene.ID	HGNC.symbol	Description	PSR.total	M7vM8_F61__alternative_model_kappa	M7vM8_F61__alternative_model_omega	M7vM8_F61__null_model_lnL	M7vM8_F61__alternative_model_lnL	M7vM8_F61__LRT_statistic	M7vM8_F61__LRT_P_value_full	M7vM8_F61__LRT_P_value_log10	M7vM8_F61__LRT_P_value_bonf	M7vM8_F61__LRT_P_value_bh	M7vM8_F3X4__alternative_model_kappa	M7vM8_F3X4__alternative_model_omega	M7vM8_F3X4__null_model_lnL	M7vM8_F3X4__alternative_model_lnL	M7vM8_F3X4__LRT_statistic	M7vM8_F3X4__LRT_P_value_full	M7vM8_F3X4__LRT_P_value_log10	M7vM8_F3X4__LRT_P_value_bonf	M7vM8_F3X4__LRT_P_value_bh	M1avM2a_F61__alternative_model_kappa	M1avM2a_F61__alternative_model_omega	M1avM2a_F61__null_model_lnL	M1avM2a_F61__alternative_model_lnL	M1avM2a_F61__LRT_statistic	M1avM2a_F61__LRT_P_value_full	M1avM2a_F61__LRT_P_value_log10	M1avM2a_F61__LRT_P_value_bonf	M1avM2a_F61__LRT_P_value_bh	M1avM2a_F3X4__alternative_model_kappa	M1avM2a_F3X4__alternative_model_omega	M1avM2a_F3X4__null_model_lnL	M1avM2a_F3X4__alternative_model_lnL	M1avM2a_F3X4__LRT_statistic	M1avM2a_F3X4__LRT_P_value_full	M1avM2a_F3X4__LRT_P_value_log10	M1avM2a_F3X4__LRT_P_value_bonf	M1avM2a_F3X4__LRT_P_value_bh
ENSG00000021852	ENSG00000175262	ENSG00000175262	ENST00000371237	ENSP00000360281	732	C8B	complement component 8, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:1353]	1	8.70918	4.01095	-3659.267805	-3652.047454	14.440702	0.000731546	-3.13575836	1	0.0030470099	8.80423	4.22735	-3696.02742	-3689.17877	13.6973	0.001060887	-2.9743308724	1	0.0043711854	8.70913	4.00438	-3659.250861	-3652.04674	14.408242	0.000743515	-3.1287102654	1	0.0031651904	8.80434	4.19217	-3696.00047	-3689.1779	13.64514	0.001088919	-2.9630044243	1	0.0046171274
ENSG00000026103	ENSG00000121270	ENSG00000121270	ENST00000355740	ENSP00000347979	355	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	3	4.6729	10.81623	-2368.315909	-2351.195954	34.23991	0.000000037	-7.4317982759	0.000410552	2.99236151603499E-07	4.58919	10.95211	-2414.705539	-2399.043508	31.324062	0.000000158	-6.801342913	0.001753168	1.18939484396201E-06	4.6826	11.25709	-2368.199068	-2351.15243	34.093276	0.00000004	-7.3979400087	0.00044384	3.31223880597015E-07	4.69494	11.70336	-2414.658187	-2399.010084	31.296206	0.00000016	-6.7958800173	0.00177536	1.24586666666667E-06
ENSG00000026751	ENSG00000131355	ENSG00000131355	ENST00000368043	ENSP00000357022	57823	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	1	5.36227	5.6423	-2425.381826	-2417.149459	16.464734	0.000265906	-3.575271863	1	0.0012052667	5.28666	5.79112	-2468.534815	-2459.26028	18.54907	0.000093782	-4.0278805097	1	0.000468741	5.36209	5.63241	-2425.376719	-2417.146025	16.461388	0.000266351	-3.5745456683	1	0.0012263198	5.28659	5.7832	-2468.477224	-2459.256451	18.441546	0.000098962	-4.0045315363	1	0.0005074318
ENSG00000043514	ENSG00000113088	ENSG00000113088	ENST00000316891	ENSP00000321810	54802	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	1	4.61568	88.73206	-2576.986089	-2566.994543	19.983092	0.000045785	-4.3392767815	0.50803036	0.0002360736	4.73192	47.66215	-2603.254849	-2593.570126	19.369446	0.000062227	-4.2060211361	0.690470792	0.0003189242	4.5944	87.77567	-2576.908196	-2566.922584	19.971224	0.000046058	-4.3366949246	0.511059568	0.0002439425	4.72704	48.01459	-2603.178907	-2593.507928	19.341958	0.000063088	-4.2000532403	0.700024448	0.0003336627
ENSG00000046774	ENSG00000134827	ENSG00000134827	ENST00000247452	ENSP00000354660	51438	MAGEC2	melanoma antigen family C, 2 [Source:HGNC Symbol;Acc:HGNC:13574]	5	2.81679	5.60342	-2788.53479	-2766.312492	44.444596	0	-Inf	0	0	3.04834	5.8684	-2863.308052	-2841.981948	42.652208	0.000000001	-9	0.000011096	9.78483245149912E-09	2.81793	5.6704	-2787.775551	-2766.31336	42.924382	0	-Inf	0	0	3.04983	5.99088	-2863.247563	-2841.987656	42.519814	0.000000001	-9	0.000011096	1.04090056285178E-08
ENSG00000049883	ENSG00000141504	ENSG00000141504	ENST00000380639	ENSP00000370013	79810	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	1	4.7218	6.34317	-2564.584487	-2557.188599	14.791776	0.000613771	-3.2119936354	1	0.002595428	4.6641	5.5414	-2607.548	-2600.743614	13.608772	0.001108901	-2.9551072249	1	0.0045487488	4.71525	6.63182	-2564.40259	-2557.109565	14.58605	0.000680267	-3.1673205963	1	0.0029245419	4.67326	6.23363	-2607.379972	-2600.642163	13.475618	0.001185241	-2.9261933338	1	0.0049797176
ENSG00000050344	ENSG00000188984	ENSG00000188984	ENST00000056233	ENSP00000056233	9603	NFE2L3	nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	1	3.62913	4.28373	-4750.84913	-4743.668444	14.361372	0.000761146	-3.1185320306	1	0.0031560822	3.74106	4.16518	-4794.354617	-4787.73341	13.242414	0.001331822	-2.8755538154	1	0.0053874943	3.62883	4.4802	-4750.710193	-4743.663938	14.09251	0.000870663	-3.0601499111	1	0.0036552693	3.7409	4.26156	-4794.241413	-4787.732706	13.017414	0.001490406	-2.8266954097	1	0.0061546502
ENSG00000055955	ENSG00000169026	ENSG00000169026	ENST00000266041	ENSP00000266041	3700	ITIH4	inter-alpha-trypsin inhibitor heavy chain family, member 4 [Source:HGNC Symbol;Acc:HGNC:6169]	2	4.76281	43.51741	-6174.162585	-6162.863587	22.597996	0.000012385	-4.9071039891	0.13742396	7.06913374485597E-05	4.70071	43.56639	-6319.067618	-6308.107089	21.921058	0.000017374	-4.7601001828	0.192781904	9.79085342813611E-05	4.73999	43.06917	-6173.680136	-6162.506296	22.34768	0.000014037	-4.8527257001	0.155754552	8.13764639498433E-05	4.70364	43.89677	-6319.054477	-6308.08247	21.944014	0.000017176	-4.7650779686	0.190584896	9.96261871406168E-05
ENSG00000062096	ENSG00000069974	ENSG00000069974	ENST00000381127	ENSP00000370519	416	ARSF	arylsulfatase F [Source:HGNC Symbol;Acc:HGNC:721]	1	3.94881	6.22249	-3926.747926	-3919.569825	14.356202	0.000763116	-3.1174094406	1	0.0031630688	4.02334	7.9011	-3967.651647	-3959.669867	15.96356	0.000341631	-3.4664427278	1	0.0015434599	3.94582	6.51185	-3926.175096	-3919.529054	13.292084	0.001299154	-2.8863393652	1	0.0052496041	4.00993	3.93119	-3966.799258	-3960.422192	12.754132	0.001700104	-2.7695245108	1	0.0069533188
ENSG00000063127	ENSG00000100593	ENSG00000100593	ENST00000335875	ENSP00000338627	28968	SLC6A16	solute carrier family 6, member 16 [Source:HGNC Symbol;Acc:HGNC:13622]	1	4.74577	5.75637	-4781.450036	-4770.025671	22.84873	0.000010926	-4.9615388038	0.121234896	6.29138017644006E-05	4.47353	5.36558	-4840.197494	-4828.39415	23.606688	0.00000748	-5.1260984021	0.08299808	4.45507675791734E-05	4.74801	5.84907	-4781.360983	-4770.024343	22.67328	0.000011928	-4.9234323696	0.132353088	6.98064810126582E-05	4.47432	5.40109	-4839.886114	-4828.393932	22.984364	0.00001021	-4.9909742579	0.11329016	6.13373903627504E-05
ENSG00000068985	ENSG00000153237	ENSG00000153237	ENST00000376150	ENSP00000365320	8712	PAGE1	P antigen family, member 1 (prostate associated) [Source:HGNC Symbol;Acc:HGNC:4107]	6	3.06377	9.30402	-1091.679132	-1069.733848	43.890568	0	-Inf	0	0	2.96894	7.00572	-1118.339549	-1099.980488	36.718122	0.000000011	-7.9586073148	0.000122056	9.54308053166536E-08	3.06404	9.41312	-1089.346388	-1069.733254	39.226268	0.000000003	-8.5228787453	0.000033288	2.92513181019332E-08	2.96841	7.20713	-1115.105458	-1099.977683	30.25555	0.000000269	-6.57024772	0.002984824	2.02773369565217E-06
ENSG00000069974	ENSG00000121318	ENSG00000121318	ENST00000396307	ENSP00000379601	5873	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]	1	11.66169	12.79554	-1105.327704	-1096.035897	18.583614	0.000092176	-4.0353821421	1	0.00045276	10.82029	9.87739	-1137.510211	-1129.194593	16.631236	0.000244666	-3.6114263782	1	0.0011283516	11.62572	13.6087	-1105.078898	-1096.031315	18.095166	0.000117675	-3.929315793	1	0.0005774975	10.79695	10.24706	-1137.267614	-1129.179871	16.175486	0.000307283	-3.5124614658	1	0.0014472038
ENSG00000071203	ENSG00000148735	ENSG00000148735	ENST00000016913	ENSP00000016913	54860	MS4A12	membrane-spanning 4-domains, subfamily A, member 12 [Source:HGNC Symbol;Acc:HGNC:13370]	15	4.28263	22.50907	-2327.141671	-2251.457313	151.368716	0	-Inf	0	0	4.04907	23.66194	-2382.604184	-2308.857666	147.493036	0	-Inf	0	0	4.28265	22.50904	-2318.958656	-2251.457313	135.002686	0	-Inf	0	0	4.04909	23.66217	-2373.679441	-2308.857666	129.64355	0	-Inf	0	0
ENSG00000075218	ENSG00000112787	ENSG00000112787	ENST00000454366	ENSP00000415430	51512	GTSE1	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	1	4.84187	4.10586	-5397.571787	-5389.244868	16.653838	0.000241916	-3.616335407	1	0.0011019294	5.31475	4.04398	-5463.89445	-5457.782084	12.224732	0.002215303	-2.6545668644	1	0.0085797564	4.84118	4.49589	-5397.565478	-5389.149729	16.831498	0.000221354	-3.6549126257	1	0.0010328612	5.31353	4.28419	-5463.894037	-5457.742372	12.30333	0.002129932	-2.6716342616	1	0.0085403403
ENSG00000077238	ENSG00000091128	ENSG00000091128	ENST00000395762	ENSP00000379111	3566	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	3	5.03162	6.47768	-6105.076444	-6088.942461	32.267966	0.000000098	-7.0087739243	0.001087408	7.53052631578947E-07	4.88686	5.95829	-6219.20272	-6205.807762	26.789916	0.000001523	-5.8173000967	0.016899208	1.00890794029851E-05	5.03236	6.84204	-6104.218233	-6088.916008	30.60445	0.000000226	-6.6458915609	0.002507696	1.68076139410188E-06	4.89251	6.48035	-6218.083007	-6205.771112	24.62379	0.000004498	-5.3469805489	0.049909808	2.87498894009217E-05
ENSG00000079263	ENSG00000105939	ENSG00000105939	ENST00000392045	ENSP00000375899	11262	SP140	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	2	4.16115	3.75821	-5300.12013	-5286.400902	27.438456	0.000001101	-5.958212681	0.012216696	7.32855188962208E-06	4.32438	3.254	-5359.310138	-5346.821474	24.977328	0.000003769	-5.4237738626	0.041820824	2.35345098480585E-05	4.16148	3.76619	-5299.674449	-5286.398394	26.55211	0.000001715	-5.7657358756	0.01902964	1.140182144997E-05	4.32451	3.36778	-5358.637894	-5346.810835	23.654118	0.000007304	-5.1364392355	0.081045184	4.50251022222222E-05
ENSG00000081237	ENSG00000180205	ENSG00000180205	ENST00000442510	ENSP00000411355	5788	PTPRC	protein tyrosine phosphatase, receptor type, C [Source:HGNC Symbol;Acc:HGNC:9666]	26	2.88186	6.94303	-9538.066073	-9420.410063	235.31202	0	-Inf	0	0	2.94849	8.04423	-9591.365699	-9486.584999	209.5614	0	-Inf	0	0	2.8838	7.29758	-9516.704272	-9419.825006	193.758532	0	-Inf	0	0	2.92516	7.41739	-9589.986138	-9486.176326	207.619624	0	-Inf	0	0
ENSG00000085063	ENSG00000205884	ENSG00000205884	ENST00000395850	ENSP00000379191	966	CD59	CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:HGNC:1689]	15	4.5561	15.61838	-1148.651867	-1100.904345	95.495044	0	-Inf	0	0	3.87621	11.53201	-1157.580539	-1122.979023	69.203032	0	-Inf	0	0	4.55589	15.61269	-1141.977487	-1100.903455	82.148064	0	-Inf	0	0	3.87607	11.52801	-1157.545622	-1122.978143	69.134958	0	-Inf	0	0
ENSG00000085563	ENSG00000101751	ENSG00000101751	ENST00000622132	ENSP00000478255	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:HGNC:40]	3	3.43933	7.1092	-7250.772003	-7223.798909	53.946188	0	-Inf	0	0	3.35825	8.37067	-7389.294021	-7363.238584	52.110874	0	-Inf	0	0	3.43847	7.22619	-7249.396978	-7223.782895	51.228166	0	-Inf	0	0	3.35878	8.48243	-7387.105129	-7363.23642	47.737418	0	-Inf	0	0
ENSG00000087074	ENSG00000100867	ENSG00000100867	ENST00000200453	ENSP00000200453	23645	PPP1R15A	protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2	3.99543	7.81179	-4491.372293	-4471.273225	40.198136	0.000000002	-8.6989700043	0.000022192	1.88868085106383E-08	4.59849	7.89586	-4575.725859	-4558.725806	34.000106	0.000000041	-7.3872161433	0.000454936	3.33530791788856E-07	3.98878	9.18622	-4491.364137	-4471.010008	40.708258	0.000000001	-9	0.000011096	1.02740740740741E-08	4.58728	7.59084	-4575.719018	-4558.707359	34.023318	0.000000041	-7.3872161433	0.000454936	3.44648484848485E-07
ENSG00000087460	ENSG00000075218	ENSG00000075218	ENST00000371100	ENSP00000360141	2778	GNAS	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]	1	5.0902	17.95515	-5636.785825	-5624.220596	25.130458	0.000003491	-5.4570501512	0.038736136	2.15200755555556E-05	4.98726	19.63622	-5776.176854	-5765.703492	20.946724	0.00002828	-4.5485205949	0.31379488	0.0001533699	5.04208	17.92439	-5636.359721	-5624.030245	24.658952	0.00000442	-5.3545777307	0.04904432	0.000027615	5.01471	21.49544	-5775.934256	-5765.363312	21.141888	0.000025651	-4.5908956993	0.284623496	0.0001446258
ENSG00000088888	ENSG00000155833	ENSG00000155833	ENST00000428216	ENSP00000401980	57506	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	1	4.94624	3.72967	-3584.444684	-3576.871152	15.147064	0.000513874	-3.2891433553	1	0.0022040765	4.7909	3.2032	-3660.376912	-3652.420542	15.91274	0.000350423	-3.4554073967	1	0.0015812499	4.94702	3.86939	-3584.230217	-3576.849139	14.762156	0.000622929	-3.2055614504	1	0.0027000079	4.79201	3.39475	-3660.36906	-3652.414374	15.909372	0.000351013	-3.4546767989	1	0.0016371754
ENSG00000089127	ENSG00000149021	ENSG00000149021	ENST00000445409	ENSP00000388001	4938	OAS1	2-5-oligoadenylate synthetase 1, 40/46kDa [Source:HGNC Symbol;Acc:HGNC:8086]	12	4.86183	5.30694	-2689.127347	-2654.402847	69.449	0	-Inf	0	0	4.78276	5.13872	-2746.059058	-2714.115086	63.887944	0	-Inf	0	0	4.85991	5.23976	-2687.117602	-2654.400912	65.43338	0	-Inf	0	0	4.7849	5.20554	-2744.534762	-2714.110252	60.84902	0	-Inf	0	0
ENSG00000090402	ENSG00000197487	ENSG00000197487	ENST00000264382	ENSP00000264382	6476	SI	sucrase-isomaltase (alpha-glucosidase) [Source:HGNC Symbol;Acc:HGNC:10856]	8	3.07241	10.76192	-11236.031118	-11190.681039	90.700158	0	-Inf	0	0	3.14472	9.49873	-11393.492014	-11347.038115	92.907798	0	-Inf	0	0	3.0977	12.27366	-11234.067731	-11189.134145	89.867172	0	-Inf	0	0	3.1513	10.93355	-11390.758954	-11345.631656	90.254596	0	-Inf	0	0
ENSG00000090512	ENSG00000106603	ENSG00000106603	ENST00000265029	ENSP00000265029	26998	FETUB	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]	2	4.56949	6.6209	-2824.922383	-2809.491168	30.86243	0.000000199	-6.7011469236	0.002208104	1.4642599469496E-06	4.66253	6.37564	-2869.321942	-2853.800744	31.042396	0.000000182	-6.739928612	0.002019472	1.35444131455399E-06	4.56828	6.5496	-2824.182486	-2809.491522	29.381928	0.000000417	-6.379863945	0.004627032	3.02420392156863E-06	4.66187	6.32231	-2868.489069	-2853.800677	29.376784	0.000000418	-6.3788237182	0.004638128	3.08181262458472E-06
ENSG00000091128	ENSG00000177575	ENSG00000177575	ENST00000388781	ENSP00000373433	22798	LAMB4	laminin, beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	3	4.62631	7.61668	-10905.843164	-10878.692208	54.301912	0	-Inf	0	0	4.71224	5.7743	-11026.008618	-11001.05087	49.915496	0	-Inf	0	0	4.62752	7.75656	-10905.677785	-10878.699917	53.955736	0	-Inf	0	0	4.7119	5.74128	-11025.127323	-11001.0555	48.143646	0	-Inf	0	0
ENSG00000091138	ENSG00000177675	ENSG00000177675	ENST00000340010	ENSP00000345873	1811	SLC26A3	solute carrier family 26 (anion exchanger), member 3 [Source:HGNC Symbol;Acc:HGNC:3018]	11	3.61571	10.36586	-5237.311958	-5165.315537	143.992842	0	-Inf	0	0	3.534	10.36187	-5296.04144	-5223.056328	145.970224	0	-Inf	0	0	3.61672	10.56298	-5237.311518	-5165.194118	144.2348	0	-Inf	0	0	3.53642	10.5812	-5296.035189	-5222.987753	146.094872	0	-Inf	0	0
ENSG00000091317	ENSG00000175857	ENSG00000175857	ENST00000205636	ENSP00000205636	54918	CMTM6	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	1	2.06945	6.02909	-1183.533549	-1177.027301	13.012496	0.001494075	-2.8256276011	1	0.0058189737	2.21114	5.97668	-1217.43662	-1211.671201	11.530838	0.003134082	-2.5038896449	1	0.011736677	2.06757	6.24604	-1182.56828	-1177.023166	11.090228	0.003906498	-2.4082123937	1	0.0142775039	2.20823	7.82886	-1217.435581	-1211.551772	11.767618	0.00278416	-2.5553058103	1	0.0108816623
ENSG00000091513	ENSG00000140332	ENSG00000140332	ENST00000402696	ENSP00000385834	7018	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	5	3.31383	10.61191	-4547.409133	-4516.003746	62.810774	0	-Inf	0	0	3.4797	10.20572	-4604.118322	-4573.715527	60.80559	0	-Inf	0	0	3.30923	10.5311	-4547.333209	-4515.973449	62.71952	0	-Inf	0	0	3.4728	10.08172	-4604.117387	-4573.665698	60.903378	0	-Inf	0	0
ENSG00000099330	ENSG00000187889	ENSG00000187889	ENST00000215061	ENSP00000215061	79629	OCEL1	occludin/ELL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26221]	1	4.24582	9.38853	-1619.480693	-1610.810035	17.341316	0.000171546	-3.7656194041	1	0.0008004518	4.3442	9.68211	-1657.887459	-1648.753618	18.267682	0.00010795	-3.9667773533	1	0.0005309456	4.24509	9.36915	-1619.302962	-1610.806495	16.992934	0.000204188	-3.6899697847	1	0.0009592168	4.34398	9.66158	-1657.623571	-1648.744461	17.75822	0.000139268	-3.8561486612	1	0.0006932785
ENSG00000099338	ENSG00000162896	ENSG00000162896	ENST00000409235	ENSP00000386962	57828	CATSPERG	catsper channel auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	1	3.27157	5.69197	-8056.255513	-8048.363456	15.784114	0.0003737	-3.4274769022	1	0.0016474276	3.33174	5.75898	-8196.530719	-8187.994252	17.072934	0.000196182	-3.7073408423	1	0.0009188837	3.26835	6.1256	-8055.653408	-8048.256315	14.794186	0.000613032	-3.2125168549	1	0.0026633528	3.32856	6.12025	-8196.245579	-8187.87481	16.741538	0.000231537	-3.6353795981	1	0.0011088194
ENSG00000099812	ENSG00000120498	ENSG00000120498	ENST00000215582	ENSP00000215582	126353	MISP	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1	5.93161	4.83623	-5501.715632	-5496.276018	10.879228	0.004341159	-2.3623943073	1	0.0154142401	5.78869	4.05365	-5582.038678	-5577.130153	9.81705	0.007383371	-2.1317453086	1	0.0255459572	5.93461	5.2122	-5501.424607	-5496.365745	10.117724	0.006352785	-2.1970358424	1	0.0220904113	5.78995	4.32272	-5581.955526	-5577.192037	9.526978	0.008535776	-2.0687569904	1	0.0300104469
