Ensembl Gene ID,Gene Start (bp),Gene End (bp),Strand,Chromosome Name,Associated Gene Name,Description
ENSG00000258713,2795633,2796479,1,20,C20orf141,chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:16134]
ENSG00000261230,145448132,145464191,-1,HG243_PATCH,CPSF1,"cleavage and polyadenylation specific factor 1, 160kDa [Source:HGNC Symbol;Acc:2324]"
ENSG00000188394,125796806,125797975,1,9,GPR21,G protein-coupled receptor 21 [Source:HGNC Symbol;Acc:4476]
ENSG00000172785,121041,188979,-1,9,CBWD1,COBW domain containing 1 [Source:HGNC Symbol;Acc:17134]
ENSG00000132635,2815960,2821836,-1,20,PCED1A,PC-esterase domain containing 1A [Source:HGNC Symbol;Acc:16212]
ENSG00000175387,45357922,45457515,-1,18,SMAD2,SMAD family member 2 [Source:HGNC Symbol;Acc:6768]
ENSG00000104043,50150435,50475014,-1,15,ATP8B4,"ATPase, class I, type 8B, member 4 [Source:HGNC Symbol;Acc:13536]"
ENSG00000165209,125871779,126030855,-1,9,STRBP,spermatid perinuclear RNA binding protein [Source:HGNC Symbol;Acc:16462]
ENSG00000261297,145464645,145471798,-1,HG243_PATCH,SLC39A4,"solute carrier family 39 (zinc transporter), member 4 [Source:HGNC Symbol;Acc:17129]"
ENSG00000182511,91426925,91439006,1,15,FES,feline sarcoma oncogene [Source:HGNC Symbol;Acc:3657]
ENSG00000170113,23043277,23100005,-1,15,NIPA1,non imprinted in Prader-Willi/Angelman syndrome 1 [Source:HGNC Symbol;Acc:17043]
ENSG00000054796,55904815,55919050,1,20,SPO11,SPO11 meiotic protein covalently bound to DSB [Source:HGNC Symbol;Acc:11250]
ENSG00000074410,63613577,63674360,-1,15,CA12,carbonic anhydrase XII [Source:HGNC Symbol;Acc:1371]
ENSG00000087495,58152564,58422766,1,20,PHACTR3,phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:15833]
ENSG00000183784,213108,215893,-1,9,C9orf66,chromosome 9 open reading frame 66 [Source:HGNC Symbol;Acc:26436]
ENSG00000067900,18526867,18691812,-1,18,ROCK1,"Rho-associated, coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:10251]"
ENSG00000128965,41245160,41248710,1,15,CHAC1,"ChaC, cation transport regulator homolog 1 (E. coli) [Source:HGNC Symbol;Acc:28680]"
ENSG00000260313,145478520,145483451,-1,HG243_PATCH,VPS28,vacuolar protein sorting 28 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18178]
ENSG00000124104,44462449,44471914,1,20,SNX21,sorting nexin family member 21 [Source:HGNC Symbol;Acc:16154]
ENSG00000260716,145483685,145499347,-1,HG243_PATCH,TONSL,
ENSG00000148204,126118449,126142603,1,9,CRB2,crumbs homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:18688]
ENSG00000101146,55926066,55954267,1,20,RAE1,ribonucleic acid export 1 [Source:HGNC Symbol;Acc:9828]
ENSG00000215305,2821349,2847378,1,20,VPS16,vacuolar protein sorting 16 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:14584]
ENSG00000153666,23255242,23268823,1,15,GOLGA8I,"golgin A8 family, member I [Source:HGNC Symbol;Acc:26660]"
ENSG00000261772,116765,228460,1,HG858_PATCH,IQSEC3,IQ motif and Sec7 domain 3 [Source:HGNC Symbol;Acc:29193]
ENSG00000142192,27252861,27543446,-1,21,APP,amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:620]
ENSG00000101473,44470360,44486045,-1,20,ACOT8,acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:15919]
ENSG00000128908,41271078,41408552,-1,15,INO80,INO80 complex subunit [Source:HGNC Symbol;Acc:26956]
ENSG00000140284,50474393,50528592,1,15,SLC27A2,"solute carrier family 27 (fatty acid transporter), member 2 [Source:HGNC Symbol;Acc:10996]"
ENSG00000198033,19747910,19755992,-1,13,TUBA3C,"tubulin, alpha 3c [Source:HGNC Symbol;Acc:12408]"
ENSG00000121388,19756173,19761496,1,13,RP11-408E5.4,
ENSG00000256222,55933496,55934878,-1,20,MTRNR2L3,MT-RNR2-like 3 [Source:HGNC Symbol;Acc:37157]
ENSG00000132819,55966463,55984389,1,20,RBM38,RNA binding motif protein 38 [Source:HGNC Symbol;Acc:15818]
ENSG00000107099,214854,465259,1,9,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:19191]
ENSG00000119522,126141933,126692431,-1,9,DENND1A,DENN/MADD domain containing 1A [Source:HGNC Symbol;Acc:29324]
ENSG00000141449,18822203,19105378,1,18,GREB1L,growth regulation by estrogen in breast cancer-like [Source:HGNC Symbol;Acc:31042]
ENSG00000166265,27838528,27945603,-1,21,CYYR1,cysteine/tyrosine-rich 1 [Source:HGNC Symbol;Acc:16274]
ENSG00000196074,58438618,58508710,-1,20,SYCP2,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:11490]
ENSG00000140287,50534144,50558223,-1,15,HDC,histidine decarboxylase [Source:HGNC Symbol;Acc:4855]
ENSG00000132958,19997017,20110903,-1,13,TPTE2,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 [Source:HGNC Symbol;Acc:17299]
ENSG00000140455,63796793,63886839,1,15,USP3,ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:12626]
ENSG00000184828,45553044,45937123,-1,18,ZBTB7C,zinc finger and BTB domain containing 7C [Source:HGNC Symbol;Acc:31700]
ENSG00000154734,28208066,28217728,-1,21,ADAMTS1,"ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:HGNC Symbol;Acc:217]"
ENSG00000106689,126763949,126795580,1,9,LHX2,LIM homeobox 2 [Source:HGNC Symbol;Acc:6594]
ENSG00000259455,23405069,23414193,-1,15,RP11-467N20.5,Protein LOC440233  [Source:UniProtKB/TrEMBL;Acc:H0YM25]
ENSG00000154736,28290231,28338832,-1,21,ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5 [Source:HGNC Symbol;Acc:221]"
ENSG00000261739,23599895,23612378,1,15,GOLGA8S,"golgin A8 family, member S [Source:HGNC Symbol;Acc:44409]"
ENSG00000196199,20207788,20247599,1,13,MPHOSPH8,M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:29810]
ENSG00000231825,31578395,31595492,1,HSCHR6_MHC_SSTO,PRRC2A,proline-rich coiled-coil 2A [Source:HGNC Symbol;Acc:13918]
ENSG00000178997,41474923,41522941,-1,15,EXD1,exonuclease 3'-5' domain containing 1 [Source:HGNC Symbol;Acc:28507]
ENSG00000156239,30244513,30257693,-1,21,N6AMT1,N-6 adenine-specific DNA methyltransferase 1 (putative) [Source:HGNC Symbol;Acc:16021]
ENSG00000196547,91445448,91465814,1,15,MAN2A2,"mannosidase, alpha, class 2A, member 2 [Source:HGNC Symbol;Acc:6825]"
ENSG00000107104,470291,746105,1,9,KANK1,KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:19309]
